State,District,Latitude,Longitude,District code,State name,District name,Male,Female,Population,Literate,Male_Literate,Female_Literate,Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Literate_Education,Illiterate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,No. of females per 1000 males,Literacy_ratio
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,WEST BENGAL,Dakshin Dinajpur,857199,819077,1676276,1083685,596474,487211,702987,279932,32290,1232850,412788,24794,276,148,323,1155081,534394,937283,465982,271423,956.0,65.0
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,WEST BENGAL,Darjiling,937259,909564,1846823,1315585,717673,597912,683726,66041,16579,1366681,105086,141848,2032,209240,1840,1343837,415353,1031221,523288,289979,970.0,71.0
West Bengal,Haora,22.401674174428507,87.99421176968654,341,WEST BENGAL,Haora,2500819,2349210,4850029,3605206,1942824,1662382,1819845,181662,297774,3535844,1270641,8666,4380,1258,9699,3733165,926661,2587164,1423304,833104,939.0,74.0
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,WEST BENGAL,Hugli,2814653,2704492,5519145,4078388,2211777,1866611,2152870,583380,111828,4574569,870204,7300,2662,1730,2160,4297751,1180806,2766489,1688206,1060821,961.0,74.0
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,WEST BENGAL,Jalpaiguri,1983064,1889782,3872846,2498780,1396622,1102158,1512910,349672,30090,3156781,445817,186279,2994,50676,1461,2626587,1203423,2259507,1035449,575667,953.0,65.0
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,WEST BENGAL,Kolkata,2356766,2139928,4496694,3588137,1926915,1661222,1795740,12388,68438,3440290,926414,39758,13849,4771,21178,3436193,410988,2025389,1433314,1014769,908.0,80.0
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,WEST BENGAL,Maldah,2051541,1937304,3988845,2086432,1152019,934413,1537847,545759,196687,1914352,2045151,13209,747,359,639,2161924,1960034,2511004,955283,520122,944.0,52.0
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,WEST BENGAL,Murshidabad,3627564,3476243,7103807,4055834,2177187,1878647,2589907,842294,466007,2359061,4707573,18102,766,348,3037,4346870,3031841,4390564,1717594,991413,958.0,57.0
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,WEST BENGAL,Nadia,2653768,2513832,5167600,3480555,1878866,1601689,1842607,556134,169138,3728482,1382682,33835,849,514,281,3635454,1570127,2745828,1484986,934417,947.0,67.0
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,WEST BENGAL,Puruliya,1496996,1433119,2930115,1624905,1002058,622847,1249642,492205,87560,2373120,227249,8646,622,209,3052,1664428,1272799,1678057,764776,484166,957.0,55.0
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,WEST BENGAL,Uttar Dinajpur,1551066,1456068,3007134,1489667,853495,636172,1075626,442328,37978,1482943,1501170,16702,477,432,1324,1622095,1431264,1916033,704859,385155,939.0,50.0
